t_id,tipo,tiempo_recogida,fecha_hora_recogida
Apple 1.png,Apple,433,2022-09-19 08:00:00
Apple 10.png,Apple,252,2022-09-11 19:00:00
Apple 100.png,Apple,442,2022-09-19 17:00:00
Apple 101.png,Apple,647,2022-09-28 06:00:00
Apple 102.png,Apple,418,2022-09-18 17:00:00
Apple 103.png,Apple,180,2022-09-08 19:00:00
Apple 104.png,Apple,437,2022-09-19 12:00:00
Apple 105.png,Apple,422,2022-09-18 21:00:00
Apple 106.png,Apple,637,2022-09-27 20:00:00
Apple 107.png,Apple,285,2022-09-13 04:00:00
Apple 108.png,Apple,125,2022-09-06 12:00:00
Apple 109.png,Apple,317,2022-09-14 12:00:00
Apple 11.png,Apple,410,2022-09-18 09:00:00
Apple 110.png,Apple,292,2022-09-13 11:00:00
Apple 111.png,Apple,368,2022-09-16 15:00:00
Apple 112.png,Apple,83,2022-09-04 18:00:00
Apple 113.png,Apple,521,2022-09-23 00:00:00
Apple 114.png,Apple,33,2022-09-02 16:00:00
Apple 115.png,Apple,498,2022-09-22 01:00:00
Apple 116.png,Apple,453,2022-09-20 04:00:00
Apple 117.png,Apple,629,2022-09-27 12:00:00
Apple 118.png,Apple,595,2022-09-26 02:00:00
Apple 119.png,Apple,570,2022-09-25 01:00:00
Apple 12.png,Apple,539,2022-09-23 18:00:00
Apple 120.png,Apple,187,2022-09-09 02:00:00
Apple 121.png,Apple,240,2022-09-11 07:00:00
Apple 122.png,Apple,41,2022-09-03 00:00:00
Apple 123.png,Apple,301,2022-09-13 20:00:00
Apple 124.png,Apple,653,2022-09-28 12:00:00
Apple 125.png,Apple,40,2022-09-02 23:00:00
Apple 126.png,Apple,568,2022-09-24 23:00:00
Apple 127.png,Apple,76,2022-09-04 11:00:00
Apple 128.png,Apple,448,2022-09-19 23:00:00
Apple 129.png,Apple,397,2022-09-17 20:00:00
Apple 13.png,Apple,157,2022-09-07 20:00:00
Apple 130.png,Apple,635,2022-09-27 18:00:00
Apple 131.png,Apple,719,2022-10-01 06:00:00
Apple 132.png,Apple,278,2022-09-12 21:00:00
Apple 133.png,Apple,421,2022-09-18 20:00:00
Apple 134.png,Apple,29,2022-09-02 12:00:00
Apple 135.png,Apple,385,2022-09-17 08:00:00
Apple 136.png,Apple,217,2022-09-10 08:00:00
Apple 137.png,Apple,304,2022-09-13 23:00:00
Apple 138.png,Apple,54,2022-09-03 13:00:00
Apple 139.png,Apple,376,2022-09-16 23:00:00
Apple 14.png,Apple,576,2022-09-25 07:00:00
Apple 140.png,Apple,382,2022-09-17 05:00:00
Apple 141.png,Apple,453,2022-09-20 04:00:00
Apple 142.png,Apple,167,2022-09-08 06:00:00
Apple 143.png,Apple,682,2022-09-29 17:00:00
Apple 144.png,Apple,292,2022-09-13 11:00:00
Apple 145.png,Apple,88,2022-09-04 23:00:00
Apple 146.png,Apple,116,2022-09-06 03:00:00
Apple 147.png,Apple,436,2022-09-19 11:00:00
Apple 148.png,Apple,188,2022-09-09 03:00:00
Apple 149.png,Apple,549,2022-09-24 04:00:00
Apple 15.png,Apple,430,2022-09-19 05:00:00
Apple 150.png,Apple,363,2022-09-16 10:00:00
Apple 151.png,Apple,378,2022-09-17 01:00:00
Apple 152.png,Apple,306,2022-09-14 01:00:00
Apple 153.png,Apple,29,2022-09-02 12:00:00
Apple 154.png,Apple,656,2022-09-28 15:00:00
Apple 155.png,Apple,710,2022-09-30 21:00:00
Apple 156.png,Apple,482,2022-09-21 09:00:00
Apple 157.png,Apple,469,2022-09-20 20:00:00
Apple 158.png,Apple,104,2022-09-05 15:00:00
Apple 159.png,Apple,240,2022-09-11 07:00:00
Apple 16.png,Apple,39,2022-09-02 22:00:00
Apple 160.png,Apple,345,2022-09-15 16:00:00
Apple 161.png,Apple,162,2022-09-08 01:00:00
Apple 162.png,Apple,690,2022-09-30 01:00:00
Apple 163.png,Apple,93,2022-09-05 04:00:00
Apple 164.png,Apple,525,2022-09-23 04:00:00
Apple 165.png,Apple,586,2022-09-25 17:00:00
