cliente,precio_venta,peso,t_id,fecha_venta,hora_venta,tipo,fecha_recogida,hora_recogida,lote,marca,coste_inicial,proveedor
CompraMaestra,3.0976052277753263,346.5951823296755,Banana01156.png,2022/09/21,15:00,Banana,2022/09/21,09:00,H65T65T65L49M53R46V78M,JugosoAroma,2.126823462512034,Productos Lácteos EcoLeche
CompraMaestra,3.157035437605993,137.50413702614273,Banana01228.png,2022/09/21,02:00,Banana,2022/09/20,22:00,H65T65T65L49N50T46V78M,CosechaDivina,2.062170747268302,Productos Lácteos EcoLeche
CompraMaestra,4.813135701579622,291.27284149074274,Banana01234.png,2022/09/21,22:00,Banana,2022/09/21,14:00,H65T65T65L49N51P46V78M,JugosoAroma,2.8969854890284945,AgroEnvases Sostenibles
CompraMaestra,2.667348655447624,343.9892910946783,Banana0131.png,2022/09/04,23:00,Banana,2022/09/04,16:00,H65T65T65L49O49J80T71,AventuraFrutal,1.393157652559181,Tecnosembradoras del Sur
CompraMaestra,3.322951550170111,425.90605192204384,Banana0142.png,2022/09/25,19:00,Banana,2022/09/25,03:00,H65T65T65L49P50J80T71,FrescoDelValle,1.5451540328475202,AgroSuministros del Campo
CompraMaestra,2.5484887849753504,409.8144863368073,Banana01501.png,2022/09/06,18:00,Banana,2022/09/06,14:00,H65T65T65L49Q48M46V78M,TropicalSabor,1.539514350722871,Cosechadoras Progresivas SA
CompraMaestra,4.822283064341229,623.5992299233767,Banana01513.png,2022/09/14,14:00,Banana,2022/09/14,10:00,H65T65T65L49Q49O46V78M,SaborNativo,2.8136211454774918,EcoRiego Soluciones
CompraMaestra,3.426680787561893,60.91891862530156,Banana01524.png,2022/09/16,18:00,Banana,2022/09/16,14:00,H65T65T65L49Q50P46V78M,AromasCelestiales,2.4016916532370907,Ganadería Orgánica TierraFértil
CompraMaestra,4.38863544954887,288.7365358522444,Banana01530.png,2022/09/15,05:00,Banana,2022/09/14,21:00,H65T65T65L49Q51L46V78M,DulzuraSilvestre,2.0279609031914205,Carnes Sostenibles CampoReal
CompraMaestra,2.6193658292368576,336.5555651645677,Banana0156.png,,,Banana,2022/09/30,14:00,H65T65T65L49Q54J80T71,ManjarFruity,1.7946195640636025,Vivero Verde Esperanza
CompraMaestra,4.669086391671208,259.22538765384394,Banana01590.png,2022/09/19,05:00,Banana,2022/09/18,23:00,H65T65T65L49Q57L46V78M,ArteFrutal,2.2951919832759557,Pesca Sustentable Oceanica
CompraMaestra,1.7029546301238483,504.8352348918693,Banana01712.png,2022/09/25,04:00,Banana,2022/09/24,21:00,H65T65T65L49S49N46V78M,CítricosSelectos,0.8433734792626857,Pesca Sustentable Oceanica
CompraMaestra,4.485045294889192,312.27826673550743,Banana01763.png,2022/09/05,15:00,Banana,2022/09/05,08:00,H65T65T65L49S54O46V78M,TesoroNaturaleza,2.4537829406131126,Agronutrientes del Futuro
CompraMaestra,4.353293729137766,290.5981486962654,Banana01844.png,2022/10/01,06:00,Banana,2022/10/01,04:00,H65T65T65L49T52P46V78M,ManjarFruity,2.5678122528740777,Agronutrientes del Futuro
CompraMaestra,3.3040980868109697,298.91428041530884,Banana01849.png,2022/09/11,21:00,Banana,2022/09/11,12:00,H65T65T65L49T52U46V78M,SaborNativo,2.339892085799535,Energía Renovable AgroSol
CompraMaestra,2.9647453111183126,270.9445510307351,Banana01881.png,2022/09/27,14:00,Banana,2022/09/27,05:00,H65T65T65L49T56M46V78M,RicoBosque,1.329182794346457,Fertilizantes Naturales del Valle
CompraMaestra,4.272096402529268,323.5045660272784,Banana01935.png,2022/09/18,17:00,Banana,2022/09/18,11:00,H65T65T65L49U51Q46V78M,FantasíaDelicia,1.5406210576218486,Maquinaria Agrícola Avanzada
CompraMaestra,2.882725211043246,299.3442580458832,Banana01969.png,2022/09/20,04:00,Banana,2022/09/19,20:00,H65T65T65L49U54U46V78M,AventuraFrutal,1.572131730407099,Veterinaria EcoAnimal
CompraMaestra,2.532488020530838,228.440788677244,Banana01979.png,2022/09/28,23:00,Banana,2022/09/28,18:00,H65T65T65L49U55U46V78M,ParaísoFrutal,,Veterinaria EcoAnimal
CompraMaestra,4.254685469193641,244.1659941899161,Banana01980.png,2022/09/08,19:00,Banana,2022/09/08,09:00,H65T65T65L49U56L46V78M,TropicalSabor,2.295701446285751,Cosechadoras Progresivas SA
CompraMaestra,2.996691947322449,391.03940859251225,Banana02019.png,2022/09/02,03:00,Banana,2022/09/01,22:00,H65T65T65L50L49U46V78M,ExóticoManjar,1.7944617680913817,Apícola EcoMiel
CompraMaestra,3.3956464935872184,273.3810632550355,Banana02024.png,2022/09/14,02:00,Banana,2022/09/14,02:00,H65T65T65L50L50P46V78M,RincónFrutas,1.537789573149906,AgroEnvases Sostenibles
CompraMaestra,4.007492195196836,322.9028304122229,Banana02073.png,2022/09/15,18:00,Banana,2022/09/15,08:00,H65T65T65L50L55O46V78M,AventuraFrutal,2.5215502535502945,Vivero Verde Esperanza
CompraMaestra,3.176354028128837,201.55160049739635,Banana02177.png,2022/09/09,14:00,Banana,2022/09/09,06:00,H65T65T65L50M55S46V78M,SabrosoEdén,1.5349724565267189,Energía Renovable AgroSol
CompraMaestra,3.104978891374024,124.58855079218796,Banana02190.png,2022/09/08,07:00,Banana,2022/09/08,01:00,H65T65T65L50M57L46V78M,ExóticoManjar,,Semillero Genético BioCampo
CompraMaestra,3.0716169383505445,325.0787498561491,Banana02196.png,2022/09/18,16:00,Banana,2022/09/18,12:00,H65T65T65L50M57R46V78M,AventuraFrutal,1.353271110312917,Productos Lácteos EcoLeche
CompraMaestra,3.956823398088141,307.30608567940413,Banana02226.png,2022/09/22,23:00,Banana,2022/09/22,15:00,H65T65T65L50N50R46V78M,ExóticoManjar,2.0774943122749407,Fitosanitarios BioPro
CompraMaestra,2.7395100528871064,365.16203300594896,Banana02243.png,2022/09/11,20:00,Banana,2022/09/11,13:00,H65T65T65L50N52O46V78M,AventuraFrutal,1.2762009637057852,Maquinaria Agrícola Avanzada
CompraMaestra,2.8505908596850835,318.1897616882636,Banana0228.png,2022/09/27,12:00,Banana,2022/09/27,08:00,H65T65T65L50N56J80T71,FrutaDulce,2.0527866158718617,Agronutrientes del Futuro
CompraMaestra,3.744853789428999,192.2612657424176,Banana02308.png,2022/09/29,09:00,Banana,2022/09/29,04:00,H65T65T65L50O48T46V78M,RicoBosque,1.9071976398076875,Semillero Genético BioCampo
CompraMaestra,4.021165354192121,193.6311440349369,Banana02316.png,2022/09/22,20:00,Banana,2022/09/22,16:00,H65T65T65L50O49R46V78M,SinfoníaDelicias,2.0601507190640174,Tecnosembradoras del Sur
CompraMaestra,3.901525321040303,334.74826565025705,Banana02343.png,2022/09/18,17:00,Banana,2022/09/18,08:00,H65T65T65L50O52O46V78M,DeliciosoEdén,2.1653150739244817,AgroSoftware Soluciones
CompraMaestra,2.768656701775902,347.40757947375414,Banana02356.png,2022/09/11,05:00,Banana,2022/09/10,18:00,H65T65T65L50O53R46V78M,ArteFrutal,1.6109970157368396,AgroSuministros del Campo
CompraMaestra,3.8568955479473166,370.1813764462901,Banana02373.png,2022/09/02,14:00,Banana,2022/09/02,09:00,H65T65T65L50O55O46V78M,MaravillaJugosa,2.265114566228342,Tractores Eficientes Delgado
CompraMaestra,1.9190395294284304,243.34143146341495,Banana02376.png,2022/09/15,08:00,Banana,2022/09/15,04:00,H65T65T65L50O55R46V78M,PlacerFrutado,0.6178958368771237,Insecticidas Ecológicos Reyes
CompraMaestra,4.303189727300758,174.41962800014943,Banana0242.png,2022/09/11,06:00,Banana,2022/09/11,04:00,H65T65T65L50P50J80T71,DulceEncanto,2.571724852122997,Fertilizantes Naturales del Valle
CompraMaestra,3.592428694645533,248.226179253263,Banana02445.png,2022/09/05,15:00,Banana,2022/09/05,08:00,H65T65T65L50P52Q46V78M,ExquisitoJardín,2.168782886408149,EcoRiego Soluciones
CompraMaestra,3.169171609431182,186.54138612412788,Banana02452.png,2022/09/10,14:00,Banana,2022/09/10,08:00,H65T65T65L50P53N46V78M,FrescuraMágica,1.5864134344267988,Reforestación Ecológica VerdeVida
CompraMaestra,3.570985001577079,471.499571040172,Banana02466.png,2022/09/23,18:00,Banana,2022/09/23,18:00,H65T65T65L50P54R46V78M,AromasCelestiales,2.2057407103808138,Agrícola Solaris Energía
