cliente,precio_venta,peso,t_id,fecha_venta,hora_venta,tipo,fecha_recogida,hora_recogida,lote,marca,coste_inicial,proveedor
CompraMaestra,1.7508731109955131,269.4933278493496,cene00061.png,2022/09/13,05:00,Guava,2022/09/13,05:00,I69T69L48L54M46V78M,RicoBosque,0.7908999096009501,Mallas AgroProtección García
CompraMaestra,,340.2047495734331,cene00631.png,2022/09/22,22:00,Guava,2022/09/22,18:00,I69T69L48R51M46V78M,JugosoAroma,2.0557727935715264,Agrícola Solaris Energía
CompraMaestra,2.661586030690396,283.8615938804991,cene01561.png,2022/09/24,13:00,Guava,2022/09/24,06:00,I69T69L49Q54M46V78M,EncantoNativo,1.0266157437243884,Maquinaria Agrícola Avanzada
CompraMaestra,2.2877634770142805,330.72242325192224,cene02371.png,2022/09/08,04:00,Guava,2022/09/07,23:00,I69T69L50O55M46V78M,RincónFrutas,1.0408630862790835,Herramientas Agroindustriales Gómez
CompraMaestra,3.309816934939008,77.50957789056093,cene04441.png,2022/09/10,09:00,Guava,2022/09/10,03:00,I69T69L52P52M46V78M,FantasíaDelicia,2.3775397521195054,Reforestación Ecológica VerdeVida
CompraMaestra,4.410000975472199,264.40950031893294,cene06871.png,2022/09/09,04:00,Guava,2022/09/08,17:00,I69T69L54T55M46V78M,PlacerFrutado,2.8778326083646237,Tecnosembradoras del Sur
CompraMaestra,2.356555394957088,392.61682576866616,cene07651.png,2022/09/19,07:00,Guava,2022/09/19,06:00,I69T69L55R53M46V78M,DeliciosoEdén,1.7132927351825675,EcoFungicidas Morales
CompraMaestra,3.846706801338784,353.02741441107145,cene08581.png,2022/09/06,14:00,Guava,2022/09/06,11:00,I69T69L56Q56M46V78M,ParaísoFrutal,2.023271641807705,Pesca Sustentable Oceanica
CompraMaestra,3.300917639767244,319.52381163518,cene09301.png,2022/09/07,02:00,Guava,2022/09/06,17:00,I69T69L57O48M46V78M,RincónFrutas,2.0344125264664714,Tecnosembradoras del Sur
CompraMaestra,2.855356211182306,313.4469659454858,cene12271.png,2022/09/02,22:00,Guava,2022/09/02,13:00,I69T69M50N55M46V78M,ParaísoFrutal,1.9679306627371669,Herramientas Agroindustriales Gómez
CompraMaestra,3.1263739679439286,349.0623888663592,cene12931.png,2022/09/02,05:00,Guava,2022/09/01,23:00,I69T69M50U51M46V78M,FrescuraInigualable,1.4716164779575127,Tractores Eficientes Delgado
CompraMaestra,3.554341851264519,313.5161831089025,cene13741.png,2022/09/16,00:00,Guava,2022/09/15,09:00,I69T69M51S52M46V78M,FrescoDelValle,1.638205480670723,Apícola EcoMiel
CompraMaestra,3.441682001767219,290.5885831769022,cene14341.png,2022/09/29,00:00,Guava,2022/09/28,13:00,I69T69M52O52M46V78M,ManjarFruity,2.166569043578125,Tractores Eficientes Delgado
CompraMaestra,5.492111265849381,297.88310458692416,cene15721.png,2022/09/22,21:00,Guava,2022/09/22,21:00,I69T69M53S50M46V78M,FiestaSabor,2.403731206163604,Energía Renovable AgroSol
CompraMaestra,3.594335999629537,413.697004403664,cene15811.png,2022/09/07,15:00,Guava,2022/09/07,09:00,I69T69M53T49M46V78M,ExóticoManjar,2.4649527203845056,Vivero Verde Esperanza
