cliente,precio_venta,peso,t_id,fecha_venta,hora_venta,tipo,fecha_recogida,hora_recogida,lote,marca,coste_inicial,proveedor
CompraMaestra,4.548107524069933,280.14972574124204,Kiwi A001010.png,2022/09/17,04:00,Kiwi,2022/09/16,19:00,Q73G73G48L49L49L46V78M,FrescuraInigualable,2.039902802220612,AgroQuímicos Naturales BioCultivos
CompraMaestra,4.15331767706142,426.856742992545,Kiwi A001011.png,2022/09/16,14:00,Kiwi,2022/09/16,06:00,Q73G73G48L49L49M46V78M,AromasCelestiales,2.25039298292674,Agrícola Solaris Energía
CompraMaestra,3.590312760763256,274.3738885174112,Kiwi A001023.png,2022/09/05,11:00,Kiwi,2022/09/05,02:00,Q73G73G48L49L50O46V78M,AromasCelestiales,2.3202719514009864,Semillas Innovadoras S.A.
CompraMaestra,2.630246698929428,286.127732860921,Kiwi A001092.png,2022/09/23,03:00,Kiwi,2022/09/22,21:00,Q73G73G48L49L57N46V78M,FrescuraInigualable,1.779589760736655,Mallas AgroProtección García
CompraMaestra,2.842379231460603,408.56199869754914,Kiwi A001169.png,2022/09/16,01:00,Kiwi,2022/09/15,13:00,Q73G73G48L49M54U46V78M,DeliciosoEdén,2.181014067954248,Agrícola Solaris Energía
CompraMaestra,4.782159476469927,233.5321012534204,Kiwi A001199.png,2022/09/23,07:00,Kiwi,2022/09/23,04:00,Q73G73G48L49M57U46V78M,ManjarFruity,2.716794951263418,EcoFungicidas Morales
CompraMaestra,3.765563185002927,370.31746951110927,Kiwi A001246.png,2022/10/01,07:00,Kiwi,2022/09/30,23:00,Q73G73G48L49N52R46V78M,TropicalSabor,2.26402233502188,Carnes Sostenibles CampoReal
CompraMaestra,3.8738729030218098,316.0971079926306,Kiwi A001259.png,2022/09/15,23:00,Kiwi,2022/09/15,23:00,Q73G73G48L49N53U46V78M,DeliciosoEdén,2.542663046991431,Apícola EcoMiel
CompraMaestra,3.511704267162112,463.5576519721622,Kiwi A001268.png,2022/09/22,20:00,Kiwi,2022/09/22,15:00,Q73G73G48L49N54T46V78M,DeliciaNaturaleza,2.061570601181201,Fertilizantes Naturales del Valle
CompraMaestra,2.874975161201259,246.20189637679945,Kiwi A001368.png,2022/09/16,11:00,Kiwi,2022/09/16,08:00,Q73G73G48L49O54T46V78M,FrescuraInigualable,1.526169351231819,Fitosanitarios BioPro
CompraMaestra,3.8270797635918337,152.40363009191265,Kiwi A001382.png,2022/09/02,23:00,Kiwi,2022/09/02,19:00,Q73G73G48L49O56N46V78M,SinfoníaDelicias,2.027840272362883,Productos Lácteos EcoLeche
CompraMaestra,4.379651811157752,364.7305354834855,Kiwi A0014.png,2022/09/14,23:00,Kiwi,2022/09/14,22:00,Q73G73G48L49P46V78M,SaborNativo,1.7930941174062738,Apícola EcoMiel
CompraMaestra,2.983265031581565,223.29203643396428,Kiwi A001464.png,2022/09/30,03:00,Kiwi,2022/09/29,19:00,Q73G73G48L49P54P46V78M,FrescoDelValle,1.8901914679980405,AgroQuímicos Naturales BioCultivos
CompraMaestra,4.9910874435221855,320.40458871333425,Kiwi A00147.png,2022/09/05,13:00,Kiwi,2022/09/05,05:00,Q73G73G48L49P55J80T71,DulzuraSilvestre,2.84849392346278,Insecticidas Ecológicos Reyes
CompraMaestra,2.588685041613231,195.7523898585833,Kiwi A001488.png,2022/09/07,10:00,Kiwi,2022/09/07,09:00,Q73G73G48L49P56T46V78M,SinfoníaDelicias,1.492201120890713,AgroSoftware Soluciones
CompraMaestra,4.880647081689001,359.78155020098376,Kiwi A001491.png,2022/09/11,23:00,Kiwi,2022/09/11,20:00,Q73G73G48L49P57M46V78M,VibranteSabores,2.8589760833275184,AgroSuministros del Campo
CompraMaestra,3.608028115677782,214.4884393880948,Kiwi A00153.png,2022/09/09,06:00,Kiwi,2022/09/08,23:00,Q73G73G48L49Q51J80T71,AromasCelestiales,1.890261604019648,AgroSuministros del Campo
CompraMaestra,3.397374697150142,255.32950018535243,Kiwi A001599.png,2022/09/08,08:00,Kiwi,2022/09/07,23:00,Q73G73G48L49Q57U46V78M,ExóticoManjar,1.248243681622671,Avícola San José
CompraMaestra,3.211564269049095,290.21873133161125,Kiwi A001630.png,2022/09/25,03:00,Kiwi,2022/09/24,17:00,Q73G73G48L49R51L46V78M,ExquisitoJardín,1.8156088015661156,Insecticidas Ecológicos Reyes
CompraMaestra,3.9717109348881934,242.20197471139247,Kiwi A001655.png,2022/09/17,22:00,Kiwi,2022/09/17,13:00,Q73G73G48L49R53Q46V78M,RicoBosque,1.978307919678152,Agronutrientes del Futuro
CompraMaestra,3.3810907793993232,293.7161231854757,Kiwi A001679.png,2022/09/21,03:00,Kiwi,2022/09/20,17:00,Q73G73G48L49R55U46V78M,DeliciaNaturaleza,1.9687262654770168,Agricultura Inteligente TechCultivos
CompraMaestra,4.404509190945112,188.86609595432583,Kiwi A001731.png,2022/09/06,06:00,Kiwi,2022/09/05,20:00,Q73G73G48L49S51M46V78M,SabrosoEdén,2.9771117415442867,Energía Renovable AgroSol
CompraMaestra,2.8533417923368685,345.3465300008483,Kiwi A001765.png,2022/09/13,16:00,Kiwi,2022/09/13,10:00,Q73G73G48L49S54Q46V78M,ArteFrutal,1.3235148910096812,Insecticidas Ecológicos Reyes
CompraMaestra,5.2438595271689135,352.2256045290811,Kiwi A001822.png,2022/09/27,15:00,Kiwi,2022/09/27,12:00,Q73G73G48L49T50N46V78M,FantasíaDelicia,3.1401043848850696,Vivero Verde Esperanza
CompraMaestra,3.7110069125660927,376.57091999821967,Kiwi A001825.png,2022/09/16,01:00,Kiwi,2022/09/15,17:00,Q73G73G48L49T50Q46V78M,RincónFrutas,2.202292177236088,Agricultura Inteligente TechCultivos
CompraMaestra,2.8011978884141504,459.5649468116428,Kiwi A001830.png,2022/09/24,18:00,Kiwi,2022/09/24,10:00,Q73G73G48L49T51L46V78M,JugosoAroma,1.456946262665176,Fitosanitarios BioPro
CompraMaestra,3.3861618912567524,326.7327739923165,Kiwi A001854.png,2022/09/03,20:00,Kiwi,2022/09/03,17:00,Q73G73G48L49T53P46V78M,FrescoDelValle,1.8123733674049616,Cultivos Hidropónicos Innovagro
CompraMaestra,2.989914110287571,199.3450516652581,Kiwi A001876.png,2022/09/22,16:00,Kiwi,2022/09/22,03:00,Q73G73G48L49T55R46V78M,TesoroNaturaleza,1.4249871024957206,Carnes Sostenibles CampoReal
CompraMaestra,3.7878063107172975,326.49252846038286,Kiwi A001881.png,2022/09/28,01:00,Kiwi,2022/09/28,01:00,Q73G73G48L49T56M46V78M,FrescuraMágica,1.6915419134693517,AgroSuministros del Campo
CompraMaestra,2.961741647325937,326.3861483193703,Kiwi A001968.png,2022/09/30,12:00,Kiwi,2022/09/30,03:00,Q73G73G48L49U54T46V78M,PlacerFrutado,1.8484820779890965,Agronutrientes del Futuro
CompraMaestra,4.615041806130124,264.3810885804796,Kiwi A001977.png,2022/09/12,07:00,Kiwi,2022/09/12,00:00,Q73G73G48L49U55S46V78M,BrisaFrutal,2.706646189309738,Energía Renovable AgroSol
CompraMaestra,3.922805205023023,332.3238635558084,Kiwi A002004.png,2022/09/14,10:00,Kiwi,2022/09/14,02:00,Q73G73G48L50L48P46V78M,FrescoDelValle,2.2756811846849265,BioCosecha Orgánica
CompraMaestra,4.1650732825553805,389.186448483076,Kiwi A00202.png,2022/09/23,12:00,Kiwi,2022/09/23,09:00,Q73G73G48L50L50J80T71,EncantoNativo,2.7362763000668253,EcoFungicidas Morales
CompraMaestra,3.2398064705438947,333.37925320655813,Kiwi A002040.png,2022/09/27,12:00,Kiwi,2022/09/27,01:00,Q73G73G48L50L52L46V78M,JugosoAroma,1.8500907248805791,Cultivos Hidropónicos Innovagro
CompraMaestra,4.142083521628232,323.1095405331847,Kiwi A002059.png,2022/09/10,15:00,Kiwi,2022/09/10,10:00,Q73G73G48L50L53U46V78M,BrisaFrutal,2.006876127614099,Carnes Sostenibles CampoReal
CompraMaestra,2.8752606086983823,187.5593069089514,Kiwi A002073.png,2022/09/08,12:00,Kiwi,2022/09/08,05:00,Q73G73G48L50L55O46V78M,ExquisitoJardín,1.7114288566120044,Semillero Genético BioCampo
CompraMaestra,3.2957270415357733,247.21546804773948,Kiwi A002130.png,2022/09/03,02:00,Kiwi,2022/09/02,21:00,Q73G73G48L50M51L46V78M,FrutaDulce,1.925397788238016,Fertilizantes Naturales del Valle
CompraMaestra,2.884076890757,209.46589552051736,Kiwi A00218.png,2022/09/07,16:00,Kiwi,2022/09/07,06:00,Q73G73G48L50M56J80T71,DeliciaNaturaleza,1.5490169410063366,BioCosecha Orgánica
CompraMaestra,3.658946189163105,394.18173293922337,Kiwi A00301.png,2022/09/20,08:00,Kiwi,2022/09/19,18:00,Q73G73G48L51L49J80T71,FrescuraMágica,1.4208803127596872,Semillas Innovadoras S.A.
CompraMaestra,3.713146811047504,190.5992123294072,Kiwi A00335.png,2022/09/26,05:00,Kiwi,2022/09/25,17:00,Q73G73G48L51O53J80T71,FrescuraInigualable,2.984285750667714,Herramientas Agroindustriales Gómez
CompraMaestra,3.519733765525138,192.62104106400164,Kiwi A00378.png,2022/10/01,00:00,Kiwi,2022/09/30,20:00,Q73G73G48L51S56J80T71,DeliciosoEdén,1.6383369339264384,Silos y Almacenes AgroVault
CompraMaestra,4.415540075215285,218.6685075244553,Kiwi A00398.png,2022/09/21,10:00,Kiwi,2022/09/21,07:00,Q73G73G48L51U56J80T71,VibranteSabores,2.34277946921051,Silos y Almacenes AgroVault
CompraMaestra,4.022007077543789,279.0659009772156,Kiwi A00401.png,2022/09/26,10:00,Kiwi,2022/09/25,22:00,Q73G73G48L52L49J80T71,FrutaDulce,2.788397955884946,Mallas AgroProtección García
CompraMaestra,3.287538204579649,574.2516579931262,Kiwi A00419.png,2022/09/26,16:00,Kiwi,2022/09/26,06:00,Q73G73G48L52M57J80T71,PlacerFrutado,1.9360826041578212,Agricultura Inteligente TechCultivos
