cliente,precio_venta,peso,t_id,fecha_venta,hora_venta,tipo,fecha_recogida,hora_recogida,lote,marca,coste_inicial,proveedor
CompraMaestra,4.799881676513062,320.8671324725076,Mango001.png,2022/09/12,07:00,Mango,2022/09/12,00:00,S65T71U48L49J80T71,AventuraFrutal,2.766329450367882,Tecnosembradoras del Sur
CompraMaestra,3.365373908251347,394.2626259739618,Mango001078.png,2022/09/18,07:00,Mango,2022/09/18,00:00,S65T71U48L49L55T46V78M,DulzuraSilvestre,1.547007250906355,RiegoSmart Innovación
CompraMaestra,2.5639313494796423,442.22608100289017,Mango001106.png,2022/08/31,23:00,Mango,2022/09/26,04:00,S65T71U48L49M48R46V78M,FrutaDulce,1.6484463483457086,Maquinaria Agrícola Avanzada
CompraMaestra,2.546967323187536,486.2268160332506,Mango001108.png,2022/09/30,17:00,Mango,2022/09/30,10:00,S65T71U48L49M48T46V78M,SinfoníaDelicias,1.571046708356432,Mallas AgroProtección García
CompraMaestra,3.3295506507593347,177.92141176257175,Mango00112.png,2022/09/02,21:00,Mango,2022/09/02,17:00,S65T71U48L49M50J80T71,DulceEncanto,2.1837233480494462,Tractores Eficientes Delgado
CompraMaestra,3.6309721212164807,284.8212274496715,Mango00114.png,2022/09/08,08:00,Mango,2022/09/08,06:00,S65T71U48L49M52J80T71,FrescuraMágica,2.136944793388907,Pecuaria Moderna Alcaraz
CompraMaestra,4.08832974548948,279.00838891474655,Mango001166.png,2022/09/19,14:00,Mango,2022/09/19,08:00,S65T71U48L49M54R46V78M,TropicalSabor,1.9753381605355425,Semillero Genético BioCampo
CompraMaestra,3.267273183118119,298.3673265967649,Mango001220.png,2022/09/11,23:00,Mango,2022/09/11,15:00,S65T71U48L49N50L46V78M,TropicalSabor,1.2902928908038604,AgroEnvases Sostenibles
CompraMaestra,2.825263514926244,293.813394225738,Mango001329.png,2022/09/06,10:00,Mango,2022/09/06,05:00,S65T71U48L49O50U46V78M,SinfoníaDelicias,1.1402058822925545,Reforestación Ecológica VerdeVida
CompraMaestra,4.517329410844215,216.93214623840385,Mango001367.png,2022/09/05,04:00,Mango,2022/09/05,01:00,S65T71U48L49O54S46V78M,ParaísoFrutal,2.069118025166642,Fertilizantes Naturales del Valle
CompraMaestra,3.864426331814358,397.4383554849831,Mango001420.png,2022/09/18,03:00,Mango,2022/09/17,19:00,S65T71U48L49P50L46V78M,ArteFrutal,1.8649936917357888,Cosechadoras Progresivas SA
CompraMaestra,3.4606420816887304,283.91670066838464,Mango001430.png,2022/09/22,04:00,Mango,2022/09/21,23:00,S65T71U48L49P51L46V78M,ManjarFruity,1.896027291377216,EcoFungicidas Morales
CompraMaestra,3.168075608248235,337.44486262857254,Mango001542.png,2022/09/17,18:00,Mango,2022/09/17,14:00,S65T71U48L49Q52N46V78M,ArteFrutal,2.128651781237504,Semillas Innovadoras S.A.
