cliente,precio_venta,peso,t_id,fecha_venta,hora_venta,tipo,fecha_recogida,hora_recogida,lote,marca,coste_inicial,proveedor
CompraMaestra,3.991487438039033,354.5291192887517,Muskmelon 001012.png,2022/09/05,16:00,muskmelon,2022/09/05,08:00,S85C75S69R79T48L49L49N46V78M,VibranteSabores,2.024032074460621,Herramientas Agroindustriales Gómez
CompraMaestra,3.357035752317952,232.24201503664557,Muskmelon 001051.png,2022/09/10,16:00,muskmelon,2022/09/10,10:00,S85C75S69R79T48L49L53M46V78M,EncantoNativo,1.6829533836253374,Fertilizantes Naturales del Valle
CompraMaestra,3.104216902066339,385.7171830119549,Muskmelon 001058.png,2022/09/15,23:00,muskmelon,2022/09/15,17:00,S85C75S69R79T48L49L53T46V78M,AventuraFrutal,1.7759436114225828,BioCosecha Orgánica
CompraMaestra,,283.5568199638068,Muskmelon 001076.png,2022/09/11,09:00,muskmelon,2022/09/11,04:00,S85C75S69R79T48L49L55R46V78M,VibranteSabores,2.05879598162146,Avícola San José
CompraMaestra,3.478383791175616,242.73591715369847,Muskmelon 001124.png,2022/09/03,21:00,muskmelon,2022/09/03,18:00,S85C75S69R79T48L49M50P46V78M,RicoBosque,2.035154193209012,Maquinaria Agrícola Avanzada
CompraMaestra,2.267282675825117,357.84603251401137,Muskmelon 001224.png,2022/09/26,12:00,muskmelon,2022/09/26,04:00,S85C75S69R79T48L49N50P46V78M,CítricosSelectos,1.5055768705094414,EcoRiego Soluciones
CompraMaestra,3.433711924863516,428.149291639782,Muskmelon 001233.png,2022/09/16,23:00,muskmelon,2022/09/16,17:00,S85C75S69R79T48L49N51O46V78M,RincónFrutas,1.6895884918328106,Herramientas Agroindustriales Gómez
CompraMaestra,2.348974800109364,331.6586957563283,Muskmelon 001245.png,2022/09/15,22:00,muskmelon,2022/09/15,22:00,S85C75S69R79T48L49N52Q46V78M,ExóticoManjar,2.0117464865842773,Apícola EcoMiel
CompraMaestra,2.604845116359697,245.53749779876196,Muskmelon 001251.png,2022/09/21,01:00,muskmelon,2022/09/20,17:00,S85C75S69R79T48L49N53M46V78M,JugosoAroma,1.2748895198584678,Fertilizantes Naturales del Valle
CompraMaestra,3.187492016940291,264.01480262472563,Muskmelon 001295.png,2022/09/28,18:00,muskmelon,2022/09/28,14:00,S85C75S69R79T48L49N57Q46V78M,PlacerFrutado,1.67153141953261,Veterinaria EcoAnimal
CompraMaestra,3.6924213991520953,406.737576786214,Muskmelon 001298.png,2022/09/08,05:00,muskmelon,2022/09/07,21:00,S85C75S69R79T48L49N57T46V78M,AventuraFrutal,1.817571540045123,Cultivos Hidropónicos Innovagro
CompraMaestra,3.201513333974013,149.80479673130608,Muskmelon 00130.png,2022/09/14,17:00,muskmelon,2022/09/14,11:00,S85C75S69R79T48L49O48J80T71,JugosoAroma,1.5921327346247014,Veterinaria EcoAnimal
CompraMaestra,3.1406058782870088,239.3893761213807,Muskmelon 001316.png,2022/09/26,18:00,muskmelon,2022/09/26,17:00,S85C75S69R79T48L49O49R46V78M,EncantoNativo,1.8133563317112735,AgroQuímicos Naturales BioCultivos
CompraMaestra,3.931680057110624,222.5660044279969,Muskmelon 00135.png,2022/09/03,05:00,muskmelon,2022/09/02,22:00,S85C75S69R79T48L49O53J80T71,GourmetFrutas,2.528628177217493,Agricultura Inteligente TechCultivos
CompraMaestra,3.0142739478448357,314.6900812444344,Muskmelon 001391.png,2022/09/13,01:00,muskmelon,2022/09/12,19:00,S85C75S69R79T48L49O57M46V78M,PaladarDorado,2.2876304026825114,EcoFungicidas Morales
CompraMaestra,5.2893651396145245,308.7495545075369,Muskmelon 001423.png,2022/09/28,08:00,muskmelon,2022/09/28,00:00,S85C75S69R79T48L49P50O46V78M,FrutaDulce,2.124588433876028,Semillas Innovadoras S.A.
CompraMaestra,3.6628530079869392,261.08162333677365,Muskmelon 001443.png,2022/09/25,11:00,muskmelon,2022/09/25,03:00,S85C75S69R79T48L49P52O46V78M,ManjarFruity,2.37691862252122,Semillero Genético BioCampo
CompraMaestra,3.723435794095301,172.72279436568488,Muskmelon 001447.png,2022/09/09,07:00,muskmelon,2022/09/08,23:00,S85C75S69R79T48L49P52S46V78M,FrutaDulce,1.954213724204032,Cultivos Hidropónicos Innovagro
CompraMaestra,3.3641997716329515,422.844450994967,Muskmelon 001495.png,2022/09/20,06:00,muskmelon,2022/09/19,23:00,S85C75S69R79T48L49P57Q46V78M,FantasíaDelicia,1.823360963294612,Semillas Innovadoras S.A.
CompraMaestra,3.775319984994313,238.73775084432043,Muskmelon 001507.png,2022/09/20,11:00,muskmelon,2022/09/20,11:00,S85C75S69R79T48L49Q48S46V78M,FiestaSabor,1.6936945776965946,BioCosecha Orgánica
CompraMaestra,2.2529764263495333,329.69792290919526,Muskmelon 001527.png,2022/09/22,00:00,muskmelon,2022/09/21,18:00,S85C75S69R79T48L49Q50S46V78M,RincónFrutas,1.2716109873147683,AgroQuímicos Naturales BioCultivos
CompraMaestra,5.005427413413031,155.4662711608128,Muskmelon 001536.png,2022/09/27,03:00,muskmelon,2022/09/26,21:00,S85C75S69R79T48L49Q51R46V78M,FrescuraMágica,2.8699521559612577,Cosechadoras Progresivas SA
CompraMaestra,2.798610281138352,82.63784456047335,Muskmelon 001545.png,2022/09/24,05:00,muskmelon,2022/09/23,18:00,S85C75S69R79T48L49Q52Q46V78M,SinfoníaDelicias,0.9107379377527636,Energía Renovable AgroSol
CompraMaestra,,438.5025516995589,Muskmelon 001597.png,2022/09/23,22:00,muskmelon,2022/09/23,15:00,S85C75S69R79T48L49Q57S46V78M,TropicalSabor,2.273359176005416,Agrícola Solaris Energía
CompraMaestra,3.9736924242725458,331.7887359867196,Muskmelon 001628.png,2022/09/29,03:00,muskmelon,2022/09/28,20:00,S85C75S69R79T48L49R50T46V78M,MaravillaJugosa,2.796071701517074,Fertilizantes Naturales del Valle
CompraMaestra,4.582626158366375,231.4186468863034,Muskmelon 001730.png,2022/09/05,06:00,muskmelon,2022/09/04,21:00,S85C75S69R79T48L49S51L46V78M,ManjarFruity,2.3035179175798954,BioCosecha Orgánica
CompraMaestra,3.722471749511042,206.9900263579687,Muskmelon 001733.png,2022/09/17,21:00,muskmelon,2022/09/17,14:00,S85C75S69R79T48L49S51O46V78M,ManjarFruity,2.409734282641042,Pesca Sustentable Oceanica
