cliente,precio_venta,peso,t_id,fecha_venta,hora_venta,tipo,fecha_recogida,hora_recogida,lote,marca,coste_inicial,proveedor
CompraMaestra,3.4714257437854776,444.1568456609366,Peach001013.png,2022/09/11,10:00,Peach,2022/09/11,02:00,V69G67N48L49L49O46V78M,DeliciaNaturaleza,2.10919888068303,Ganadería Orgánica TierraFértil
CompraMaestra,3.8371270717473696,260.452644842693,Peach001021.png,2022/09/01,14:00,Peach,2022/09/01,13:00,V69G67N48L49L50M46V78M,TropicalSabor,2.219130357010463,Agrícola Solaris Energía
CompraMaestra,4.114871525759124,176.9614496493185,Peach001040.png,2022/10/01,14:00,Peach,2022/10/01,05:00,V69G67N48L49L52L46V78M,PlacerFrutado,1.604807996114252,Tecnosembradoras del Sur
CompraMaestra,3.0165125145285843,291.4307169365401,Peach001066.png,2022/09/20,19:00,Peach,2022/09/20,11:00,V69G67N48L49L54R46V78M,RincónFrutas,,Insecticidas Ecológicos Reyes
CompraMaestra,3.9167143448352864,186.61000668613536,Peach001072.png,2022/09/14,23:00,Peach,2022/09/14,15:00,V69G67N48L49L55N46V78M,EmbrujoFrutal,2.088867696975961,AgroSuministros del Campo
CompraMaestra,3.3230760835832767,230.61210569796836,Peach001073.png,2022/09/06,17:00,Peach,2022/09/06,11:00,V69G67N48L49L55O46V78M,RincónFrutas,1.7575126029584298,Agricultura Inteligente TechCultivos
CompraMaestra,2.886989071588248,197.17462969733447,Peach001119.png,2022/09/29,00:00,Peach,2022/09/28,21:00,V69G67N48L49M49U46V78M,SaborNativo,1.549538363092755,Semillero Genético BioCampo
CompraMaestra,4.011229932177303,293.92311363402644,Peach001136.png,2022/09/17,11:00,Peach,2022/09/17,07:00,V69G67N48L49M51R46V78M,ArteFrutal,1.8554834964808635,Cosechadoras Progresivas SA
CompraMaestra,3.622096985554248,382.6998425040544,Peach001168.png,2022/09/13,19:00,Peach,2022/09/13,14:00,V69G67N48L49M54T46V78M,ExquisitoJardín,2.20089724103066,Fitosanitarios BioPro
CompraMaestra,3.146058413578971,313.42342293313254,Peach001255.png,2022/09/12,11:00,Peach,2022/09/12,02:00,V69G67N48L49N53Q46V78M,GourmetFrutas,1.844631982449252,Reforestación Ecológica VerdeVida
