cliente,precio_venta,peso,t_id,fecha_venta,hora_venta,tipo,fecha_recogida,hora_recogida,lote,marca,coste_inicial,proveedor
CompraMaestra,4.017281865154549,175.18876226972583,Pear 102.png,2022/09/05,15:00,Pear,2022/09/05,07:00,V69G82M48N46V78M,EmbrujoFrutal,3.2792857268597464,Cultivos Hidropónicos Innovagro
CompraMaestra,,316.3174397634885,Pear 1115.png,2022/09/08,10:00,Pear,2022/09/08,05:00,V69G82M49M53J80T71,FrescuraInigualable,,Pesca Sustentable Oceanica
CompraMaestra,4.792377741643153,299.8751869876173,Pear 1157.png,2022/09/13,05:00,Pear,2022/09/12,22:00,V69G82M49Q55J80T71,DulceEncanto,2.0118675001745165,Apícola EcoMiel
CompraMaestra,,491.7883216454082,Pear 1203.png,2022/09/15,22:00,Pear,2022/09/15,16:00,V69G82M50L51J80T71,PaladarDorado,1.4041869541427467,EcoFungicidas Morales
CompraMaestra,3.10182200618834,412.97045993439673,Pear 1216.png,2022/09/20,09:00,Pear,2022/09/20,02:00,V69G82M50M54J80T71,FiestaSabor,2.282123153330547,EcoFungicidas Morales
CompraMaestra,2.8568046048026954,354.0376362740147,Pear 1279.png,2022/09/17,13:00,Pear,2022/09/17,10:00,V69G82M50S57J80T71,MaravillaJugosa,1.8050354593415832,Herramientas Agroindustriales Gómez
CompraMaestra,4.357617768018637,257.61148773860134,Pear 1378.png,2022/09/20,20:00,Pear,2022/09/20,05:00,V69G82M51S56J80T71,GourmetFrutas,2.275919819327342,EcoFungicidas Morales
CompraMaestra,3.104527785991398,473.7611130819347,Pear 1379.png,2022/09/23,11:00,Pear,2022/09/23,06:00,V69G82M51S57J80T71,SinfoníaDelicias,1.5976588205291675,Cultivos Hidropónicos Innovagro
CompraMaestra,3.86688286624993,237.65616214062317,Pear 1403.png,2022/09/26,15:00,Pear,2022/09/26,05:00,V69G82M52L51J80T71,AventuraFrutal,1.7785070970533654,Fertilizantes Naturales del Valle
CompraMaestra,3.146979817201204,319.7752275163669,Pear 1408.png,2022/09/21,00:00,Pear,2022/09/20,21:00,V69G82M52L56J80T71,PaladarDorado,1.7182284957224985,AgroSoftware Soluciones
CompraMaestra,3.729078395716869,188.0693178031226,Pear 1413.png,2022/09/07,00:00,Pear,2022/09/06,17:00,V69G82M52M51J80T71,CosechaDivina,2.34575692820774,Productos Lácteos EcoLeche
CompraMaestra,2.913218314905913,349.75040055344454,Pear 1492.png,2022/09/11,23:00,Pear,2022/09/11,20:00,V69G82M52U50J80T71,DeliciaNaturaleza,1.2305674551244985,Fertilizantes Naturales del Valle
CompraMaestra,4.138995666936336,301.193182345643,Pear 1496.png,2022/09/04,04:00,Pear,2022/09/03,23:00,V69G82M52U54J80T71,DeliciosoEdén,2.607622041932693,Tractores Eficientes Delgado
CompraMaestra,4.037620989087582,130.20294788095774,Pear 1509.png,2022/09/25,01:00,Pear,2022/09/24,18:00,V69G82M53L57J80T71,FrescuraMágica,2.0595585478928,Fertilizantes Naturales del Valle
CompraMaestra,4.637270883905585,349.6976064128468,Pear 1581.png,2022/09/25,22:00,Pear,2022/09/25,11:00,V69G82M53T49J80T71,GourmetFrutas,2.3250318673776205,Cultivos Hidropónicos Innovagro
CompraMaestra,2.66875731702543,220.7297651038765,Pear 1642.png,2022/09/10,03:00,Pear,2022/09/10,03:00,V69G82M54P50J80T71,ExóticoManjar,1.5835459578955158,Tractores Eficientes Delgado
CompraMaestra,4.893220590195053,286.7546572263851,Pear 1668.png,2022/09/28,03:00,Pear,2022/09/27,23:00,V69G82M54R56J80T71,PaladarDorado,2.196175421767358,Semillas Innovadoras S.A.
CompraMaestra,4.424570068361026,410.64627944571583,Pear 1671.png,2022/09/06,20:00,Pear,2022/09/06,13:00,V69G82M54S49J80T71,TropicalSabor,2.337725406124828,Herramientas Agroindustriales Gómez
CompraMaestra,4.050543298283981,440.58507127840505,Pear 1682.png,2022/09/13,17:00,Pear,2022/09/13,10:00,V69G82M54T50J80T71,RicoBosque,2.4953302152543877,Veterinaria EcoAnimal
CompraMaestra,3.619397093768201,249.03969385091204,Pear 1729.png,2022/09/27,12:00,Pear,2022/09/27,03:00,V69G82M55N57J80T71,FantasíaDelicia,2.3930325240045343,Energía Renovable AgroSol
CompraMaestra,3.3702900148013555,180.74561770513424,Pear 1732.png,2022/09/20,09:00,Pear,2022/09/20,08:00,V69G82M55O50J80T71,FantasíaDelicia,1.8450869658494575,Fertilizantes Naturales del Valle
CompraMaestra,2.9144117620223184,158.18964469623847,Pear 176.png,2022/09/25,06:00,Pear,2022/09/25,06:00,V69G82M55R46V78M,RincónFrutas,1.8063735029383616,Agricultura Inteligente TechCultivos
CompraMaestra,2.627788792867636,253.069246052833,Pear 1764.png,2022/09/14,18:00,Pear,2022/09/14,17:00,V69G82M55R52J80T71,ParaísoFrutal,1.2291472263157166,Tractores Eficientes Delgado
CompraMaestra,3.020636373739508,307.6890134375214,Pear 1773.png,2022/09/09,10:00,Pear,2022/09/09,01:00,V69G82M55S51J80T71,SabrosoEdén,1.2610735059769436,Cultivos Hidropónicos Innovagro
CompraMaestra,3.040553845063274,212.81454667553655,Pear 1830.png,2022/09/08,13:00,Pear,2022/09/08,06:00,V69G82M56O48J80T71,PlacerFrutado,1.5147620993123905,Maquinaria Agrícola Avanzada
CompraMaestra,3.977492786607656,366.66036814850906,Pear 1850.png,2022/09/24,08:00,Pear,2022/09/24,03:00,V69G82M56Q48J80T71,AromasCelestiales,2.088069540938329,Pecuaria Moderna Alcaraz
CompraMaestra,3.008981478304725,280.6027031640459,Pear 1873.png,2022/09/24,17:00,Pear,2022/09/24,08:00,V69G82M56S51J80T71,FrescuraMágica,2.171292251866489,Fitosanitarios BioPro
CompraMaestra,4.347344377680828,123.7679497209171,Pear 1968.png,2022/09/09,02:00,Pear,2022/09/08,19:00,V69G82M57R56J80T71,AventuraFrutal,2.073403303512655,RiegoSmart Innovación
CompraMaestra,3.3241624365814264,203.16775783123072,Pear 1987.png,2022/09/26,13:00,Pear,2022/09/26,04:00,V69G82M57T55J80T71,SaborNativo,2.3550261295632318,Insecticidas Ecológicos Reyes
CompraMaestra,3.320079304828677,382.9402769267464,Pear 1992.png,2022/09/15,13:00,Pear,2022/09/15,07:00,V69G82M57U50J80T71,RicoBosque,2.031862729927686,Productos Lácteos EcoLeche
