cliente,precio_venta,peso,t_id,fecha_venta,hora_venta,tipo,fecha_recogida,hora_recogida,lote,marca,coste_inicial,proveedor
CompraMaestra,3.654748386413288,341.73968681850704,Persimmon1007.png,2022/09/27,12:00,Persimmon,2022/09/27,04:00,V69B83O77S79T49L48S46V78M,FrescuraMágica,1.863534337935604,Cosechadoras Progresivas SA
CompraMaestra,3.3837812508444443,462.3483149124228,Persimmon102.png,2022/09/03,22:00,Persimmon,2022/09/03,16:00,V69B83O77S79T49L50J80T71,SinfoníaDelicias,2.3544938995002145,RiegoSmart Innovación
CompraMaestra,4.164244632118876,325.4132045992221,Persimmon1026.png,2022/09/21,12:00,Persimmon,2022/09/21,06:00,V69B83O77S79T49L50R46V78M,SinfoníaDelicias,1.9292076293726148,Vivero Verde Esperanza
CompraMaestra,2.951784422733125,201.54088863486172,Persimmon1044.png,2022/09/05,16:00,Persimmon,2022/09/05,10:00,V69B83O77S79T49L52P46V78M,PlacerFrutado,1.9990151697912015,AgroEnvases Sostenibles
CompraMaestra,2.9906846350894023,305.4219099984105,Persimmon1138.png,2022/09/15,18:00,Persimmon,2022/09/15,14:00,V69B83O77S79T49M51T46V78M,FrescuraInigualable,1.7375514675100263,Agronutrientes del Futuro
CompraMaestra,,120.47092980661094,Persimmon1139.png,2022/09/05,22:00,Persimmon,2022/09/05,14:00,V69B83O77S79T49M51U46V78M,PlacerFrutado,1.913792972111721,Maquinaria Agrícola Avanzada
CompraMaestra,4.014339179450814,276.9626991632308,Persimmon1140.png,2022/09/02,03:00,Persimmon,2022/09/01,19:00,V69B83O77S79T49M52L46V78M,VibranteSabores,1.6855638850203107,Cultivos Hidropónicos Innovagro
CompraMaestra,3.602841234180437,314.27850626056227,Persimmon1153.png,2022/09/23,09:00,Persimmon,2022/09/22,19:00,V69B83O77S79T49M53O46V78M,RicoBosque,2.386578777305467,RiegoSmart Innovación
CompraMaestra,3.7309255419171383,372.0269024511297,Persimmon1252.png,2022/09/13,19:00,Persimmon,2022/09/13,11:00,V69B83O77S79T49N53N46V78M,SabrosoEdén,2.002606582577572,Semillero Genético BioCampo
CompraMaestra,4.490443043546453,248.5535893090569,Persimmon1298.png,2022/09/18,02:00,Persimmon,2022/09/17,17:00,V69B83O77S79T49N57T46V78M,DeliciosoEdén,2.233310094010428,EcoRiego Soluciones
CompraMaestra,3.4631820869633314,320.0666738291495,Persimmon1312.png,2022/09/23,17:00,Persimmon,2022/09/23,11:00,V69B83O77S79T49O49N46V78M,TesoroNaturaleza,1.434520638643486,Maquinaria Agrícola Avanzada
CompraMaestra,3.336399110971853,295.9732042986307,Persimmon1314.png,2022/09/02,08:00,Persimmon,2022/09/02,01:00,V69B83O77S79T49O49P46V78M,ManjarFruity,1.8213601567648507,Productos Lácteos EcoLeche
CompraMaestra,3.6090533957056175,109.96521365290285,Persimmon1316.png,2022/09/15,15:00,Persimmon,2022/09/15,14:00,V69B83O77S79T49O49R46V78M,TesoroNaturaleza,1.9106677378318135,Agricultura Inteligente TechCultivos
CompraMaestra,3.814891611090338,436.2811927962849,Persimmon1324.png,2022/09/08,02:00,Persimmon,2022/09/07,21:00,V69B83O77S79T49O50P46V78M,ParaísoFrutal,2.427340573951703,Insecticidas Ecológicos Reyes
CompraMaestra,2.8449684241348763,172.71265251494034,Persimmon1369.png,2022/09/23,14:00,Persimmon,2022/09/23,12:00,V69B83O77S79T49O54U46V78M,ArteFrutal,2.1476044993670635,Veterinaria EcoAnimal
CompraMaestra,3.103013427692498,173.40306535228464,Persimmon1374.png,2022/09/09,11:00,Persimmon,2022/09/09,07:00,V69B83O77S79T49O55P46V78M,EmbrujoFrutal,2.217358195977978,Carnes Sostenibles CampoReal
