cliente,precio_venta,peso,t_id,fecha_venta,hora_venta,tipo,fecha_recogida,hora_recogida,lote,marca,coste_inicial,proveedor
CompraMaestra,3.5164390516444906,208.0482501067383,Pitaya001071.png,2022/10/01,04:00,Pitaya,2022/09/30,19:00,V73D65I65L48M48S49J80T71,GourmetFrutas,1.9361164704426588,Agrícola Solaris Energía
CompraMaestra,3.3835196010653714,340.1001218478622,Pitaya001149.png,2022/09/02,17:00,Pitaya,2022/09/02,17:00,V73D65I65L48M49P57J80T71,TesoroNaturaleza,2.251498796363386,Carnes Sostenibles CampoReal
CompraMaestra,2.965591943879247,242.43348321068063,Pitaya001406.png,2022/09/12,13:00,Pitaya,2022/09/12,08:00,V73D65I65L48M52L54J80T71,DeliciosoEdén,1.325830493926543,RiegoSmart Innovación
CompraMaestra,4.144249368436162,242.88691524593,Pitaya001544.png,2022/09/07,17:00,Pitaya,2022/09/07,09:00,V73D65I65L48M53P52J80T71,PaladarDorado,,BioCosecha Orgánica
CompraMaestra,5.480156563050468,387.6944461055957,Pitaya001569.png,2022/09/16,01:00,Pitaya,2022/09/15,21:00,V73D65I65L48M53R57J80T71,PlacerFrutado,3.405187935219309,AgroEnvases Sostenibles
CompraMaestra,4.234286357532163,184.53107818951693,Pitaya001576.png,2022/09/07,02:00,Pitaya,2022/09/06,17:00,V73D65I65L48M53S54J80T71,FantasíaDelicia,3.1618155818233946,AgroSuministros del Campo
CompraMaestra,3.663238469553202,234.4126302392941,Pitaya001592.png,2022/09/25,11:00,Pitaya,2022/09/25,03:00,V73D65I65L48M53U50J80T71,FantasíaDelicia,2.3005329989344845,Veterinaria EcoAnimal
CompraMaestra,3.946777452406701,451.30541306505967,Pitaya001632.png,2022/09/25,16:00,Pitaya,2022/09/25,07:00,V73D65I65L48M54O50J80T71,DulceEncanto,1.3436131264956843,Veterinaria EcoAnimal
CompraMaestra,2.785825903564171,445.28783625681217,Pitaya001656.png,2022/09/27,18:00,Pitaya,2022/09/27,12:00,V73D65I65L48M54Q54J80T71,DeliciosoEdén,0.7291747281964258,Productos Lácteos EcoLeche
CompraMaestra,3.056212454058109,432.8606138979951,Pitaya001672.png,2022/09/05,00:00,Pitaya,2022/09/04,16:00,V73D65I65L48M54S50J80T71,BrisaFrutal,1.308847470165289,Semillero Genético BioCampo
CompraMaestra,5.013798577903075,417.2420748680629,Pitaya001673.png,2022/09/22,01:00,Pitaya,2022/09/21,22:00,V73D65I65L48M54S51J80T71,AventuraFrutal,2.78484649904576,Silos y Almacenes AgroVault
CompraMaestra,3.740859043398734,324.23428757158365,Pitaya001701.png,2022/09/21,03:00,Pitaya,2022/09/20,17:00,V73D65I65L48M55L49J80T71,RicoBosque,2.002604581701612,Pesca Sustentable Oceanica
CompraMaestra,4.48710492261378,551.919147646689,Pitaya001738.png,2022/09/07,11:00,Pitaya,2022/09/07,05:00,V73D65I65L48M55O56J80T71,RincónFrutas,2.0381395999101177,Silos y Almacenes AgroVault
CompraMaestra,2.895804465167303,318.30732595521937,Pitaya001752.png,2022/09/16,03:00,Pitaya,2022/09/16,03:00,V73D65I65L48M55Q50J80T71,AromasCelestiales,1.4516404754435688,AgroSoftware Soluciones
CompraMaestra,3.6905360756739287,332.3012792597615,Pitaya001911.png,2022/09/11,08:00,Pitaya,2022/09/10,23:00,V73D65I65L48M57M49J80T71,SaborNativo,1.5568715612666488,Vivero Verde Esperanza
CompraMaestra,3.5232674707434093,280.9732085824058,Pitaya001918.png,2022/09/26,21:00,Pitaya,2022/09/26,12:00,V73D65I65L48M57M56J80T71,JugosoAroma,1.6056980459674786,Semillero Genético BioCampo
CompraMaestra,4.472176491882877,254.19072200429108,Pitaya00192.png,2022/09/24,05:00,Pitaya,2022/09/23,18:00,V73D65I65L48M57N46V78M,ArteFrutal,2.861321085792348,Fitosanitarios BioPro
CompraMaestra,3.4973815398965917,231.74461331882603,Pitaya001958.png,2022/09/04,22:00,Pitaya,2022/09/04,17:00,V73D65I65L48M57Q56J80T71,FantasíaDelicia,1.3800429469520958,Cultivos Hidropónicos Innovagro
CompraMaestra,3.2794306680193888,373.3478851761817,Pitaya002002.png,2022/09/15,08:00,Pitaya,2022/09/15,01:00,V73D65I65L48N48L50J80T71,VibranteSabores,1.672204187838296,Insecticidas Ecológicos Reyes
CompraMaestra,3.2984834877057456,182.49449520832445,Pitaya002022.png,2022/09/01,19:00,Pitaya,2022/09/01,12:00,V73D65I65L48N48N50J80T71,FrescuraInigualable,2.0258319738270885,Apícola EcoMiel
CompraMaestra,4.0889053727808005,345.3657821165445,Pitaya002040.png,2022/09/18,16:00,Pitaya,2022/09/18,06:00,V73D65I65L48N48P48J80T71,ExquisitoJardín,2.137052144668101,Agrícola Solaris Energía
CompraMaestra,3.634657848694985,235.50853159059636,Pitaya002068.png,2022/09/13,23:00,Pitaya,2022/09/13,16:00,V73D65I65L48N48R56J80T71,ExóticoManjar,1.9662644816255008,Pecuaria Moderna Alcaraz
CompraMaestra,3.389488755534619,363.2924685853525,Pitaya002099.png,2022/09/30,12:00,Pitaya,2022/09/30,02:00,V73D65I65L48N48U57J80T71,CosechaDivina,1.670436964727168,EcoFungicidas Morales
CompraMaestra,4.589854363836397,339.5457249764632,Pitaya002119.png,2022/09/03,22:00,Pitaya,2022/09/03,18:00,V73D65I65L48N49M57J80T71,ExóticoManjar,1.970390539633072,Energía Renovable AgroSol
CompraMaestra,4.720967987187812,379.0822376578668,Pitaya002126.png,2022/09/18,04:00,Pitaya,2022/09/17,23:00,V73D65I65L48N49N54J80T71,TesoroNaturaleza,2.6095711649908995,Fertilizantes Naturales del Valle
CompraMaestra,2.67441243368778,347.3134275525469,Pitaya002163.png,2022/09/13,23:00,Pitaya,2022/09/13,23:00,V73D65I65L48N49R51J80T71,FrutaDulce,,Mallas AgroProtección García
CompraMaestra,4.729282595877205,86.66368798263323,Pitaya002176.png,2022/09/24,03:00,Pitaya,2022/09/23,13:00,V73D65I65L48N49S54J80T71,DulceEncanto,3.011852189027844,Herramientas Agroindustriales Gómez
CompraMaestra,3.3546588215860047,177.26640573986643,Pitaya0022.png,2022/09/12,14:00,Pitaya,2022/09/12,09:00,V73D65I65L48N50J80T71,RicoBosque,2.6901723347695023,Pesca Sustentable Oceanica
CompraMaestra,3.75955513222657,300.12204347496225,Pitaya002244.png,2022/09/09,05:00,Pitaya,2022/09/09,02:00,V73D65I65L48N50P52J80T71,DeliciosoEdén,1.7022044140927288,Fertilizantes Naturales del Valle
