cliente,precio_venta,peso,t_id,fecha_venta,hora_venta,tipo,fecha_recogida,hora_recogida,lote,marca,coste_inicial,proveedor
CompraMaestra,3.242278695010647,379.611745310387,Tamotoes001054.png,2022/09/24,16:00,Tomatoes,2022/09/24,05:00,D65S79D79K83L48M48Q52J80T71,TropicalSabor,1.86901796581144,AgroSuministros del Campo
CompraMaestra,4.443954630224358,275.00606020729543,Tamotoes001073.png,2022/09/01,03:00,Tomatoes,2022/09/02,21:00,D65S79D79K83L48M48S51J80T71,TesoroNaturaleza,2.5572883519435265,Avícola San José
CompraMaestra,4.241065384355313,185.20573128055835,Tamotoes001098.png,2022/09/28,10:00,Tomatoes,2022/09/28,01:00,D65S79D79K83L48M48U56J80T71,DeliciaNaturaleza,1.7147085126345685,EcoRiego Soluciones
CompraMaestra,4.071345935040746,292.1946819239597,Tamotoes001122.png,2022/09/14,10:00,Tomatoes,2022/09/14,07:00,D65S79D79K83L48M49N50J80T71,DeliciaNaturaleza,2.089007544539037,Fertilizantes Naturales del Valle
CompraMaestra,2.6904209495051297,271.4411282296013,Tamotoes001200.png,2022/09/10,10:00,Tomatoes,2022/09/09,17:00,D65S79D79K83L48M50L48J80T71,FiestaSabor,1.7819801542185263,Agricultura Inteligente TechCultivos
CompraMaestra,2.36059006663744,322.5721345089479,Tamotoes001254.png,2022/09/24,04:00,Tomatoes,2022/09/23,18:00,D65S79D79K83L48M50Q52J80T71,ManjarFruity,1.5851220898333342,Veterinaria EcoAnimal
CompraMaestra,2.0222646444871475,284.2312657603768,Tamotoes001308.png,2022/09/09,06:00,Tomatoes,2022/09/09,00:00,D65S79D79K83L48M51L56J80T71,AromasCelestiales,1.0802648803885109,Tecnosembradoras del Sur
CompraMaestra,2.8920327041618386,257.33385313298186,Tamotoes001402.png,2022/09/08,21:00,Tomatoes,2022/09/08,09:00,D65S79D79K83L48M52L50J80T71,JugosoAroma,1.894263343292216,AgroSuministros del Campo
CompraMaestra,3.4990368244487486,257.2666775378396,Tamotoes001404.png,2022/09/10,16:00,Tomatoes,2022/09/10,13:00,D65S79D79K83L48M52L52J80T71,AventuraFrutal,2.03864078206248,Tecnosembradoras del Sur
CompraMaestra,2.5117590021305998,371.1067114628918,Tamotoes001407.png,2022/09/26,12:00,Tomatoes,2022/09/26,11:00,D65S79D79K83L48M52L55J80T71,AromasCelestiales,1.7675575450265983,Productos Lácteos EcoLeche
CompraMaestra,4.612996323015426,435.6507450503396,Tamotoes001408.png,2022/09/14,08:00,Tomatoes,2022/09/14,00:00,D65S79D79K83L48M52L56J80T71,DeliciosoEdén,2.6371140866837126,Ganadería Orgánica TierraFértil
CompraMaestra,4.4953059044070045,342.59253409345547,Tamotoes001427.png,2022/09/26,02:00,Tomatoes,2022/09/25,13:00,D65S79D79K83L48M52N55J80T71,DulceEncanto,1.7578537356547574,Tractores Eficientes Delgado
CompraMaestra,3.634105563551715,189.24966666956325,Tamotoes001453.png,2022/09/23,18:00,Tomatoes,2022/09/23,10:00,D65S79D79K83L48M52Q51J80T71,AventuraFrutal,2.548325178291249,AgroEnvases Sostenibles
CompraMaestra,3.7188258297393175,261.0697188365791,Tamotoes001508.png,2022/09/29,01:00,Tomatoes,2022/09/28,23:00,D65S79D79K83L48M53L56J80T71,JugosoAroma,2.183908453933765,Carnes Sostenibles CampoReal
CompraMaestra,3.305328985775504,277.5693400351463,Tamotoes001568.png,2022/09/13,21:00,Tomatoes,2022/09/13,14:00,D65S79D79K83L48M53R56J80T71,RicoBosque,1.7252809234221096,Fitosanitarios BioPro
CompraMaestra,3.2100334458398865,238.1226252303444,Tamotoes001661.png,2022/09/25,10:00,Tomatoes,2022/09/25,06:00,D65S79D79K83L48M54R49J80T71,ArteFrutal,2.5828068828711626,AgroQuímicos Naturales BioCultivos
