clientes,id_clientes
CompraMaestra,1
Almacén Estrella,2
EcoMercado Sostenible,3
Cosecha Fresca,4
Central de Abastos Central,5
El Bazar de la Comida,6
Alimentación Total,7
Distribuidora Alfa,8
La Gran Cosecha,9
EcoTienda,10
Mercado Fresco XYZ,11
Alimentos Premium,12
Mercado del Barrio,13
Delicias del Campo,14
Tienda Familiar,15
Distribuidora Nacional,16
Distribuciones del Sol,17
MegaCompra,18
SuperValle Verde,19
MegaAhorro,20
Supermercados del Valle,21
SuperMercado Ideal,22
SuperOfertas Plus,23
Tienda Selecta,24
SuperEconómico,25
MaxiDescuentos,26
SuperAhorro Express,27
MaxiAlimentos,28
La Canasta Feliz,29
CompraRápida,30
La Ruta del Sabor,31
Comercial Fresco,32
La Tienda Justa,33
Distribuidora Gourmet,34
